,n_nodes,sample_size,kl,time(s)
0,4,20,0.2809178829193115,0.09775280952453613
1,4,50,0.03672623261809349,0.28319692611694336
2,4,100,0.06656542420387268,0.5666370391845703
3,4,200,0.01990220509469509,1.2418360710144043
4,4,500,0.02084089256823063,2.77822208404541
5,4,1000,0.011555301025509834,5.894025087356567
6,4,2000,0.006785014644265175,11.545233011245728
7,5,20,0.6903524994850159,0.27046990394592285
8,5,50,0.20904631912708282,0.5478088855743408
9,5,100,0.11185626685619354,1.2116899490356445
10,5,200,0.1555667519569397,1.9574191570281982
11,5,500,-0.02663452737033367,6.492652177810669
12,5,1000,0.03034503199160099,11.482706785202026
13,5,2000,0.028861556202173233,23.13642191886902
14,6,20,1.3009247779846191,0.4171431064605713
15,6,50,1.2685270309448242,1.4120938777923584
16,6,100,1.0025379657745361,2.2663960456848145
17,6,200,0.5962077975273132,4.896327972412109
18,6,500,0.23542289435863495,10.439044952392578
19,6,1000,0.13346801698207855,24.454883098602295
20,6,2000,0.13587981462478638,42.122382164001465
21,7,20,1.6455811262130737,0.7064769268035889
22,7,50,1.6796643733978271,1.550347089767456
23,7,100,1.6155378818511963,3.141602039337158
24,7,200,1.752341866493225,6.203181028366089
25,7,500,1.4921647310256958,18.305935859680176
26,7,1000,1.2991150617599487,36.3094117641449
27,7,2000,0.8715888261795044,72.54080390930176
