,n_nodes,sample_size,kl,time(s)
0,4,20,0.04140413552522659,0.08303213119506836
1,4,50,-0.03939545899629593,0.21716928482055664
2,4,100,0.01437935046851635,0.4901859760284424
3,4,200,-0.011430840007960796,0.9422478675842285
4,4,500,0.020444808527827263,2.3597800731658936
5,4,1000,0.015129989013075829,4.968739986419678
6,4,2000,0.01168843824416399,9.506026029586792
7,5,20,0.6421700119972229,0.21344995498657227
8,5,50,0.23536434769630432,0.5284550189971924
9,5,100,0.01919049769639969,1.1415669918060303
10,5,200,0.033555835485458374,1.8854100704193115
11,5,500,-0.014862406067550182,5.13847804069519
12,5,1000,0.03608046472072601,10.098222017288208
13,5,2000,0.022410739213228226,20.238988161087036
14,6,20,1.4178863763809204,0.3227970600128174
15,6,50,1.1783274412155151,0.8878998756408691
16,6,100,0.8591820001602173,2.0365710258483887
17,6,200,0.6476793885231018,3.819711923599243
18,6,500,0.1845908910036087,9.41323709487915
19,6,1000,0.05834988132119179,18.779596090316772
20,6,2000,0.015272660180926323,39.01650786399841
21,7,20,1.8498908281326294,0.6274712085723877
22,7,50,1.9195269346237183,1.412477970123291
23,7,100,1.7577942609786987,2.87402606010437
24,7,200,1.6437889337539673,6.291263103485107
25,7,500,1.2579333782196045,16.435933113098145
26,7,1000,1.035587191581726,31.87706995010376
27,7,2000,0.6938963532447815,62.288885831832886
